,TRADE_VOLUME,TRADE_VALUE,TRADE_COUNT,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE
290,305,12200.0,1,40.0,40.0,40.0,40.0
291,5316,216567.84,12,40.0,41.0,40.0,40.74
292,29675,1186268.7,22,40.01,40.5,39.5,39.98
293,54476,2176777.25,28,39.11,40.4,39.0,39.96
294,4000,155850.0,5,38.9,39.0,38.8,38.96
295,353,13272.8,1,37.6,37.6,37.6,37.6
296,1563,61888.98,4,39.9,39.9,39.21,39.6
297,1227,49063.21,8,39.99,40.0,39.97,39.99
298,24573,970376.5,5,39.0,39.5,39.0,39.49
299,1094,42756.04,2,38.99,39.5,38.99,39.08
300,28269,1102177.85,10,38.99,39.0,38.01,38.99
301,32782,1283835.75,9,38.0,39.5,38.0,39.16
302,837,32704.5,3,39.0,39.5,39.0,39.07
303,10000,390000.0,5,39.0,39.0,39.0,39.0
304,54540,2181375.0,23,39.5,40.0,39.5,40.0
305,1527,61165.74,2,40.1,40.1,37.62,40.06
306,1391,54739.0,4,39.0,39.5,39.0,39.35
307,603,22737.8,3,38.2,38.2,37.6,37.71
308,403,15269.8,3,37.6,37.99,37.6,37.89
309,6481,232450.81,5,37.79,37.79,35.0,35.87
310,2065,72508.23,4,34.65,36.0,34.61,35.11
311,18958,684941.02,5,37.0,37.0,34.7,36.13
312,4304,143687.0,9,32.53,35.0,32.53,33.38
313,20370,712950.0,11,35.0,35.0,35.0,35.0
314,37,1261.7,1,34.1,34.1,34.1,35.0
315,26,886.6,1,34.1,34.1,34.1,35.0
316,7476,262275.64,9,34.1,35.15,34.1,35.08
317,6906,253112.34,9,35.0,38.1,35.0,36.65
318,5160,190920.0,3,37.0,37.0,37.0,37.0
319,6000,225996.4,12,37.01,38.0,37.0,37.67
320,192,7105.92,1,37.01,37.01,37.01,37.67
321,8640,321844.6,6,36.55,37.5,36.55,37.25
322,64801,2397687.0,33,37.01,37.01,37.0,37.0
323,97623,3611681.01,37,35.0,37.01,35.0,37.0
324,422,14403.4,6,34.27,35.01,33.33,34.13
325,1389,51391.72,6,36.99,37.0,36.98,37.0
326,601,22237.0,2,37.0,37.0,37.0,37.0
327,13292,491804.0,9,37.0,37.0,37.0,37.0
328,50,1705.0,1,34.1,34.1,34.1,37.0
329,261069,9904500.15,18,37.0,38.0,36.95,37.94
330,50,1875.0,1,37.5,37.5,37.5,37.94
331,1919,71003.0,2,37.0,37.0,37.0,37.0
332,15237,563223.0,8,37.02,37.02,36.0,36.96
333,5052,185852.11,8,37.0,37.0,35.07,36.79
334,100,3555.0,1,35.55,35.55,35.55,36.79
