,TRADE_VOLUME,TRADE_VALUE,TRADE_COUNT,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE
246,120152,4421283.91,38,36.7,36.9,36.0,36.8
247,182093,6734957.79,43,36.79,37.0,36.01,36.99
248,80208,2876344.43,31,36.8,36.8,33.33,35.86
249,39135,1369601.35,14,34.51,35.0,34.5,35.0
250,5421,191355.87,17,35.0,36.0,35.0,35.3
251,21885,787561.5,23,35.0,36.0,35.0,35.99
252,248453,9117421.0,39,36.0,36.75,36.0,36.7
253,27549,962959.32,51,35.5,36.75,33.61,34.95
254,1000,35500.0,1,35.5,35.5,35.5,35.5
255,25455,914688.5,21,35.01,36.6,35.01,35.93
256,70652,2543289.05,13,35.05,36.0,35.05,36.0
257,27103,976058.75,17,35.5,36.55,35.26,36.01
258,36942,1330156.21,22,35.51,36.9,35.51,36.01
259,7611,278075.36,11,35.11,36.56,35.05,36.54
260,80262,2932964.5,50,36.5,36.6,36.5,36.54
261,9230,337726.48,14,36.2,36.6,36.2,36.59
262,280268,10369829.65,54,36.6,37.1,36.6,37.0
263,30200,1117406.0,5,37.01,37.01,37.0,37.0
264,2178,80840.52,3,37.1,37.34,37.1,37.12
265,43040,1593600.0,6,37.0,37.5,37.0,37.03
266,3373,127419.93,13,37.25,38.1,37.25,37.78
267,151338,5759746.37,53,37.5,38.47,37.5,38.06
268,3420,130964.7,8,38.49,38.5,37.1,38.29
269,56692,2173687.37,42,38.01,38.8,38.0,38.34
270,306146,12050004.7,101,38.9,40.4,38.9,39.36
271,8646,352912.22,36,39.41,41.8,39.11,40.82
272,25751,1051813.83,25,39.16,41.0,39.1,40.85
273,13512,540587.6,15,39.5,40.25,39.5,40.01
274,74026,2997782.28,39,39.8,40.5,39.8,40.5
275,235751,9657717.27,49,39.75,41.0,39.0,40.97
276,43776,1790768.75,28,40.0,41.0,40.0,40.91
277,24043,985265.66,20,40.6,41.0,40.6,40.98
278,26100,1068893.96,47,40.5,41.49,40.5,40.95
279,3799,153808.44,9,40.0,40.95,40.0,40.49
280,13399,548317.25,7,39.01,41.0,39.01,40.92
281,9774,400358.0,8,40.06,41.0,40.06,40.96
282,40033,1603025.9,20,40.01,40.27,40.0,40.04
283,17150,686897.68,16,39.32,40.5,39.3,40.05
284,24495,988523.0,11,39.99,40.5,39.99,40.36
285,22634,913706.16,33,39.51,40.5,39.51,40.37
286,214416,8886181.77,95,40.5,43.0,40.5,41.44
287,17541,745284.33,19,42.24,42.9,42.0,42.49
288,375181,15783743.7,43,40.05,42.5,40.02,42.07
289,81544,3682389.97,111,42.94,46.27,42.94,45.16
290,64030,2963256.09,82,45.96,47.0,45.4,46.28
291,174553,8091453.62,173,46.5,47.99,43.0,46.36
292,37114,1714213.93,55,45.0,46.98,45.0,46.19
293,23608,1100489.65,58,46.96,47.0,46.02,46.62
294,139095,6714923.83,151,46.86,49.0,46.86,48.28
295,45825,2265272.61,58,49.0,49.98,49.0,49.43
296,36676,1810923.02,54,49.95,49.95,48.55,49.38
297,68965,3355947.3,78,49.5,49.65,47.0,48.66
298,39090,1839447.12,70,46.25,48.5,46.0,47.06
299,93600,4399011.43,46,47.13,47.5,46.8,47.0
300,21850,1031341.13,59,46.51,48.0,46.5,47.2
301,17592,826755.37,61,47.0,47.01,46.63,47.0
302,55779,2621576.37,76,47.0,47.5,46.7,47.0
303,13573,633960.9,37,49.0,49.0,45.7,46.71
304,40548,1918060.0,41,46.99,47.5,46.99,47.3
305,22097,1049424.78,60,47.25,48.0,47.0,47.49
306,325599,15578630.1,64,47.9,48.5,47.0,47.85
307,596040,28604719.05,69,48.4,48.7,47.5,47.99
308,17817,866724.02,24,49.5,50.0,48.5,48.65
309,3700,176414.27,12,47.5,48.25,47.25,47.68
310,979011,46992591.8,32,48.0,48.8,48.0,48.0
311,85618,4124637.96,26,48.0,48.2,47.75,48.17
312,19217,935426.0,44,48.0,49.25,48.0,48.68
313,311589,15423796.13,53,49.49,50.0,48.99,49.5
314,32083,1596590.8,35,49.49,50.0,49.49,49.76
315,2014,99824.06,21,49.81,49.81,48.07,49.57
316,579753,28696294.08,103,49.57,50.0,48.25,49.5
317,443450,21950714.4,50,49.5,49.7,48.3,49.5
318,18460,899945.4,24,48.25,49.5,48.25,48.75
319,2540,125021.87,15,48.21,49.97,48.21,49.22
320,4215,207876.66,12,48.99,49.5,48.31,49.32
321,14011,664596.97,35,47.08,48.44,46.6,47.43
322,7339,342108.77,12,48.0,48.0,46.5,46.62
323,123704,5824711.03,52,47.0,47.5,47.0,47.09
324,738,34659.1,7,46.41,47.01,46.41,46.96
325,30108,1438430.64,44,47.0,48.4,47.0,47.78
326,159929,7645587.62,8,47.78,48.0,47.78,47.81
327,26041,1267017.87,34,48.0,49.0,47.0,48.65
328,91359,4583436.15,71,49.16,51.5,49.16,50.17
329,31221,1560160.8,23,48.1,50.01,48.1,49.97
330,3536,180725.93,14,49.86,52.0,49.86,51.11
331,31682,1635165.16,44,51.5,52.0,50.13,51.61
332,52772,2650067.08,77,50.01,51.0,50.0,50.22
333,11790,591446.4,16,51.0,51.0,50.0,50.17
334,8329,418009.9,12,50.1,50.25,50.1,50.19
335,22025,1103159.1,16,49.26,51.0,49.26,50.09
336,323650,16121098.57,29,49.99,50.0,49.0,49.81
337,51517,2438433.85,74,50.0,50.0,45.03,47.33
338,13167,585881.07,26,42.9,47.96,42.71,44.5
339,163707,7255558.79,138,46.0,46.0,42.81,44.32
340,43066,1899719.57,39,44.5,44.63,43.31,44.11
341,99759,4433642.32,39,44.0,46.98,43.99,44.44
342,49889,2377679.2,40,47.0,48.0,46.5,47.66
343,12918,633490.95,15,45.55,49.97,45.55,49.04
344,25188,1183824.68,16,47.0,47.01,46.9,47.0
345,218188,10691133.6,31,48.75,49.5,48.75,49.0
346,2356,115458.25,8,49.0,49.5,48.95,49.01
347,436,21483.0,4,47.0,49.48,47.0,49.27
348,11784,555744.0,6,47.28,47.28,47.0,47.16
349,241,11331.82,1,47.02,47.02,47.02,47.16
350,776,37245.0,2,47.99,48.0,47.99,48.0
351,44743,2078737.3,36,46.82,47.0,46.0,46.46
352,32024,1489230.0,13,46.52,46.6,46.5,46.5
353,20950,970772.75,17,46.45,47.0,46.0,46.34
354,4686,220307.0,11,47.0,47.03,47.0,47.01
355,82926,3982907.94,43,47.5,48.45,47.5,48.03
356,32637,1578969.64,23,48.0,48.99,48.0,48.38
357,153361,7816692.76,95,49.0,52.0,49.0,50.97
358,163223,8159355.6,48,51.85,51.89,48.0,49.99
359,1180,59390.38,11,50.8,50.9,49.75,50.33
360,80828,4041392.5,5,49.75,50.0,49.75,50.0
361,6845,341696.1,9,50.0,50.0,48.02,49.92
362,106636,5330754.95,24,49.99,50.0,49.9,49.99
363,86350,4308442.5,14,49.6,50.0,49.5,49.9
364,44360,2217980.0,4,50.0,50.0,49.9,50.0
365,417,20455.0,5,50.0,50.0,49.0,50.0
366,337320,16865095.25,15,50.0,50.0,49.85,50.0
367,10744,531902.78,7,49.0,50.0,49.0,49.51
368,19930,978155.38,24,48.6,51.0,48.6,49.08
369,70007,3500110.2,22,49.0,50.0,49.0,50.0
370,88004,4480797.28,20,49.01,51.0,49.01,50.92
371,8792,439599.94,8,50.01,50.01,49.99,50.0
372,37488,1850302.21,16,49.3,49.98,49.25,49.36
373,6684,333335.75,7,48.71,50.0,48.7,49.87
374,41406,2035415.16,26,49.99,50.0,48.51,49.16
375,16755,820968.84,18,49.01,49.01,48.55,49.0
376,28431,1415921.7,20,49.0,50.0,49.0,49.8
377,118918,5776588.65,45,49.01,49.01,47.7,48.58
378,50981,2472516.13,8,47.73,48.5,47.73,48.5
379,2615,127965.5,7,48.0,49.0,47.9,48.94
380,28,1336.16,1,47.72,47.72,47.72,48.94
381,24394,1133803.58,42,47.25,48.0,46.0,46.48
382,29589,1354217.7,28,46.0,46.01,45.5,45.77
383,186338,8532598.57,22,45.5,46.03,45.5,45.79
384,14839,682354.7,21,45.58,46.0,45.57,45.98
385,99204,4542762.65,25,45.5,46.01,45.5,45.79
386,7150,329167.5,11,46.98,46.99,45.77,46.04
387,153514,7113766.95,38,46.15,47.0,46.0,46.34
388,12119,564781.75,9,47.0,48.0,46.25,46.6
389,50855,2351860.45,12,46.96,46.96,46.05,46.25
